CCB,LON,LAT,ZONE_NM,SI_NM
KT,127.0541285,37.5258452,호텔엘루이-청담동-커피숍,서울
KT,127.1279861,37.4322467,호수커피숍-성남동,경기
KT,126.9822511,37.5792721,화동커피집-소격동,서울
KT,126.9822511,37.5792721,화동커피집-화동,서울
KT,126.8643846,37.3021977,호수커피숍,경기
KT,126.6762815,37.4136212,후에버커피-연수동,인천
KT,127.0031279,37.2671171,홍도사사주카페-매산로1가,경기
KT,126.843542,35.2216807,혜윰커피-첨단점,광주
KT,126.9234458,37.5546262,홍대스트릿존-다빈치커피앞KT전주,서울
KT,126.923925,37.5522285,홍대스트릿존-벨라빈스커피앞KT전주,서울
KT,126.9236166,37.5517193,홍대스트릿존-커피스미스앞CCTV,서울
KT,127.1491916,37.3844056,홈스테드커피-율동점,경기
KT,128.3571851,36.0879272,혼스커피-상모점,경북
KT,127.4601356,36.6497263,할리스커피-청주봉명점,충북
KT,128.711111,35.8374857,행복나눔교회-카페휴게실,대구
KT,128.6339659,35.8583863,핸즈커피 KBS점,대구
KT,128.6297888,35.8663984,핸즈커피 MBC점,대구
KT,128.6091064,35.8932867,핸즈커피 경대점,대구
KT,127.4269432,36.6315869,할리스커피-청주하복대점,충북
KT,126.8,36.5184,할리스커피-충남당진점,충남
KT,128.4271596,34.8578867,할리스커피-통영점,경남
KT,126.8112617,36.9526218,할리스커피-행담휴게소점,충남
KT,127.438826,36.3654868,할리스커피숍(송촌점),대전
KT,128.5992022,35.8680916,핸즈커피 공평점,대구
KT,128.5545403,35.8571288,핸즈커피 광장점,대구
KT,128.5903178,35.8554991,핸즈커피 교대점,대구
KT,128.5812824,35.8567356,핸즈커피 대명계대점,대구
KT,128.5969103,35.8701932,핸즈커피 더락점,대구
KT,128.6291277,35.8766183,핸즈커피 동대구점,대구
KT,128.5934647,35.8686266,핸즈커피 동성로점,대구
KT,128.5610459,35.9426585,핸즈커피 동천점,대구
KT,128.5906579,35.8656823,핸즈커피 반월당점,대구
KT,128.5605358,35.9430962,핸즈커피 본점,대구
KT,128.5395945,35.8184011,핸즈커피 상인점,대구
KT,128.5561603,35.8362377,핸즈커피 성당점,대구
KT,128.4926929,35.8551297,핸즈커피 성서점,대구
KT,128.6206752,35.8571154,핸즈커피 수성3가점,대구
KT,128.6135071,35.8608134,핸즈커피 수성점,대구
KT,128.7073095,35.8395559,핸즈커피 시지점,대구
KT,128.5710581,35.8388826,핸즈커피 써니킨점,대구
KT,128.5110108,35.8549684,핸즈커피 이곡점,대구
KT,128.6381412,35.8217616,핸즈커피 지산점,대구
KT,128.5236534,35.8133557,핸즈커피 진천점,대구
KT,128.5901516,35.8893813,핸즈커피 침산점,대구
KT,128.5477963,35.9307512,핸즈커피 태전점,대구
KT,128.5943185,35.8714525,핸즈커피 파티점,대구
KT,129.340848,36.0255474,핸즈커피 포항이동점,경북
KT,129.362538,36.0361276,핸즈커피 포항중앙점,경북
KT,128.6284828,35.8386988,핸즈커피 황금점,대구
KT,129.1007053,35.1371554,핸즈커피-경성대점,부산
KT,129.1109547,35.1327668,핸즈커피-메트로점,부산
KT,127.043929,37.2592087,핸즈커피_영통점,경기
